id,disabled_on,segment,level,lft,parent_id,rght,tree_id,sector_cluster_id
a2e61afa-5f95-e211-a939-e4115bead28a,,Hedge Funds,2,15,9fe61afa-5f95-e211-a939-e4115bead28a,16,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
a0e61afa-5f95-e211-a939-e4115bead28a,,Private Equity,2,17,9fe61afa-5f95-e211-a939-e4115bead28a,18,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
a3e61afa-5f95-e211-a939-e4115bead28a,,Foreign Exchange,1,22,a338cecc-5f95-e211-a939-e4115bead28a,23,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
a4e61afa-5f95-e211-a939-e4115bead28a,,Insurance,1,24,a338cecc-5f95-e211-a939-e4115bead28a,35,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
75363000-6095-e211-a939-e4115bead28a,,Commercial Insurance,2,25,a4e61afa-5f95-e211-a939-e4115bead28a,26,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
a6e61afa-5f95-e211-a939-e4115bead28a,,Home Insurance,2,27,a4e61afa-5f95-e211-a939-e4115bead28a,28,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
a5e61afa-5f95-e211-a939-e4115bead28a,,Motor Insurance,2,31,a4e61afa-5f95-e211-a939-e4115bead28a,32,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
74363000-6095-e211-a939-e4115bead28a,,Travel Insurance,2,33,a4e61afa-5f95-e211-a939-e4115bead28a,34,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
77363000-6095-e211-a939-e4115bead28a,,Listings,1,36,a338cecc-5f95-e211-a939-e4115bead28a,37,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
78363000-6095-e211-a939-e4115bead28a,,Professional Services,1,38,a338cecc-5f95-e211-a939-e4115bead28a,45,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
79363000-6095-e211-a939-e4115bead28a,,Accountancy Services,2,39,78363000-6095-e211-a939-e4115bead28a,40,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
7a363000-6095-e211-a939-e4115bead28a,,Management Consultancy,2,43,78363000-6095-e211-a939-e4115bead28a,44,20,7be7a38f-1a77-44bf-abee-3049ba50a6a8
7d363000-6095-e211-a939-e4115bead28a,,Bakery Products,1,2,a538cecc-5f95-e211-a939-e4115bead28a,3,21,ed3671b5-d194-4ee3-9bbf-a04773711dd9
82363000-6095-e211-a939-e4115bead28a,,Beverages and Alcoholic Drinks,1,4,a538cecc-5f95-e211-a939-e4115bead28a,5,21,ed3671b5-d194-4ee3-9bbf-a04773711dd9
7c363000-6095-e211-a939-e4115bead28a,,Brewing,1,6,a538cecc-5f95-e211-a939-e4115bead28a,7,21,ed3671b5-d194-4ee3-9bbf-a04773711dd9
