id,segment,sector_cluster_id,parent_id,path
64c7d5fb-7d8d-4829-b6c0-9c9a9a1d5801,Ground based,531d3510-3f42-41fd-86b5-fa686fdfe33f,7e720bd9-eee9-47a0-9888-e0e44622cc1a,Space : Services : Ground based
a1ebb5d0-bb2e-400c-b8cf-b818092cf955,Launch,531d3510-3f42-41fd-86b5-fa686fdfe33f,7e720bd9-eee9-47a0-9888-e0e44622cc1a,Space : Services : Launch
3cb924f1-3ee2-409a-beaa-a6244ca40488,Satellite operation,531d3510-3f42-41fd-86b5-fa686fdfe33f,7e720bd9-eee9-47a0-9888-e0e44622cc1a,Space : Services : Satellite operation
1e5df501-553a-4a84-b71d-bf61cb9784e4,Sports development and policy,ed3671b5-d194-4ee3-9bbf-a04773711dd9,ac22c9d2-5f95-e211-a939-e4115bead28a,Sports economy : Sports development and policy
b2dc1a4f-5764-445e-b13e-cbaad9e6f352,Sports architecture,ed3671b5-d194-4ee3-9bbf-a04773711dd9,65f1690c-6095-e211-a939-e4115bead28a,Sports economy : Sports infrastructure : Sports architecture
bda4afad-24b8-482b-88c9-5d621b2a6bae,Sports construction,ed3671b5-d194-4ee3-9bbf-a04773711dd9,65f1690c-6095-e211-a939-e4115bead28a,Sports economy : Sports infrastructure : Sports construction
9613314b-642a-430b-ad4a-df65bd0ccf0b,Stadia fit out,ed3671b5-d194-4ee3-9bbf-a04773711dd9,65f1690c-6095-e211-a939-e4115bead28a,Sports economy : Sports infrastructure : Stadia fit out
b9e988af-00d1-4a03-9fe6-df2406ab3f22,Internet service providers,531d3510-3f42-41fd-86b5-fa686fdfe33f,9d38cecc-5f95-e211-a939-e4115bead28a,Technology and smart cities : Communications : Internet service providers
3016a2aa-66ed-473f-a18f-53f031926531,Wireless internet of things,531d3510-3f42-41fd-86b5-fa686fdfe33f,9d38cecc-5f95-e211-a939-e4115bead28a,Technology and smart cities : Communications : Wireless internet of things
26719bca-ff89-42f7-8294-dbfd36b30c27,5G,531d3510-3f42-41fd-86b5-fa686fdfe33f,a138cecc-5f95-e211-a939-e4115bead28a,Technology and smart cities : Hardware : 5G
