old_sector,new_sector,new_sector_fix_capitalisation,sector_team,disable
Creative and Media : Media : Video Games,Creative industries : Games,Creative industries : Games,"Creative, consumer & sports sector team",
Creative and Media : Media Reproduction,Creative industries : Publishing,Creative industries : Publishing,"Creative, consumer & sports sector team",
Creative and Media : Media Reproduction : Printing,Creative industries : Publishing,Creative industries : Publishing,"Creative, consumer & sports sector team",
Creative and Media : Media Reproduction : Reproduction,Creative industries : Publishing,Creative industries : Publishing,"Creative, consumer & sports sector team",
Electronics and IT Hardware : Electronic Instruments,Technology and smart cities : Hardware,Technology and smart cities : Hardware,Technology sector team,
Electronics and IT Hardware : Electronics and IT Technologies,Technology and smart cities : Hardware,Technology and smart cities : Hardware,Technology sector team,
Electronics and IT Hardware : Electronics and IT Technologies : Broadcasting,Technology and smart cities : Hardware,Technology and smart cities : Hardware,Technology sector team,
Electronics and IT Hardware : Electronics and IT Technologies : Component Technologies,Technology and smart cities : Hardware,Technology and smart cities : Hardware,Technology sector team,
Electronics and IT Hardware : Electronics and IT Technologies : Computing,Technology and smart cities : Hardware,Technology and smart cities : Hardware,Technology sector team,
Electronics and IT Hardware : Electronics and IT Technologies : Display Technologies,Technology and smart cities : Hardware,Technology and smart cities : Hardware,Technology sector team,
Electronics and IT Hardware : Electronics and IT Technologies : Network Technologies,Technology and smart cities : Hardware,Technology and smart cities : Hardware,Technology sector team,
Electronics and IT Hardware : Electronics and IT Technologies : Security Technologies,Security : Cyber security,Security : Cyber security,Defence & security sector team,
Environment : Air Pollution and Noise Control,Environment : Air Pollution and Noise Control,Environment : Air pollution and noise control,Energy sector team,
Environment : Environmental Monitoring,Environment : Environmental Monitoring,Environment : Environmental monitoring,Energy sector team,
Environment : Fuel Cells,Environment,Environment,Energy sector team,
Environment : Marine Pollution Control,Environment : Marine Pollution Control,Environment : Marine pollution control,Energy sector team,
Environment : Sanitation and Remediation,Environment : Sanitation and Remediation,Environment : Sanitation and remediation,Energy sector team,
Environment : Waste Management,Environment : Waste management and recycling,Environment : Waste management and recycling,Energy sector team,
Environment : Waste Management : Hazardous Waste Management,Environment : Waste management and recycling,Environment : Waste management and recycling,Energy sector team,
Environment : Waste Management : Non-Metal Waste and Scrap Recycling,Environment : Waste management and recycling,Environment : Waste management and recycling,Energy sector team,
Environment : Waste Management : Sewage Collection and Treatment,Environment : Waste management and recycling,Environment : Waste management and recycling,Energy sector team,
Environment : Waste to Energy,Environment : Waste management and recycling,Environment : Waste management and recycling,Energy sector team,
Environment : Water Management,Water : Water management,Water : Water management,Infrastructure sector team,
Financial Services (including Professional Services),Financial and Professional Services,Financial and professional services,Financial & professional services sector team,
Financial Services (including Professional Services) : Asset Management,Financial and Professional Services : Asset Management,Financial and professional services : Asset management,Financial & professional services sector team,
Financial Services (including Professional Services) : Banking,Financial and Professional Services : Banking,Financial and professional services : Banking,Financial & professional services sector team,
Financial Services (including Professional Services) : Banking : Commercial Banking,Financial and Professional Services : Banking : Commercial Banking,Financial and professional services : Banking : Commercial banking,Financial & professional services sector team,
Financial Services (including Professional Services) : Banking : Investment Banking,Financial and Professional Services : Banking : Investment Banking,Financial and professional services : Banking : Investment banking,Financial & professional services sector team,
Financial Services (including Professional Services) : Banking : Private Banking,Financial and Professional Services : Banking : Private Banking,Financial and professional services : Banking : Private banking,Financial & professional services sector team,
Financial Services (including Professional Services) : Banking : Retail Banking,Financial and Professional Services : Banking : Retail Banking,Financial and professional services : Banking : Retail banking,Financial & professional services sector team,
Financial Services (including Professional Services) : Capital Markets,Financial and Professional Services : Capital Markets,Financial and professional services : Capital markets,Financial & professional services sector team,
Financial Services (including Professional Services) : Capital Markets : Hedge Funds,Financial and Professional Services : Capital Markets : Hedge Funds,Financial and professional services : Capital markets : Hedge funds,Financial & professional services sector team,
Financial Services (including Professional Services) : Capital Markets : Private Equity,Financial and Professional Services : Capital Markets : Private Equity,Financial and professional services : Capital markets : Private equity,Financial & professional services sector team,
Financial Services (including Professional Services) : Capital Markets : Venture Capital,Financial and Professional Services : Capital Markets : Venture Capital,Financial and professional services : Capital markets : Venture capital,Financial & professional services sector team,
Financial Services (including Professional Services) : Foreign Exchange,Financial and Professional Services : Foreign Exchange,Financial and professional services : Foreign exchange,Financial & professional services sector team,
Financial Services (including Professional Services) : Insurance,Financial and Professional Services : Insurance,Financial and professional services : Insurance,Financial & professional services sector team,
Financial Services (including Professional Services) : Insurance : Commercial Insurance,Financial and Professional Services : Insurance : Commercial Insurance,Financial and professional services : Insurance : Commercial insurance,Financial & professional services sector team,
Financial Services (including Professional Services) : Insurance : Home Insurance,Financial and Professional Services : Insurance : Home Insurance,Financial and professional services : Insurance : Home insurance,Financial & professional services sector team,
Financial Services (including Professional Services) : Insurance : Life Insurance,Financial and Professional Services : Insurance : Life Insurance,Financial and professional services : Insurance : Life insurance,Financial & professional services sector team,
Financial Services (including Professional Services) : Insurance : Motor Insurance,Financial and Professional Services : Insurance : Motor Insurance,Financial and professional services : Insurance : Motor insurance,Financial & professional services sector team,
Financial Services (including Professional Services) : Insurance : Travel Insurance,Financial and Professional Services : Insurance : Travel Insurance,Financial and professional services : Insurance : Travel insurance,Financial & professional services sector team,
Financial Services (including Professional Services) : Listings,Financial and Professional Services : Listings,Financial and professional services : Listings,Financial & professional services sector team,
Financial Services (including Professional Services) : Professional Services,Financial and Professional Services,Financial and professional services,Financial & professional services sector team,
Financial Services (including Professional Services) : Professional Services : Accountancy Services,Financial and Professional Services : Accountancy services,Financial and professional services : Accountancy services,Financial & professional services sector team,
Financial Services (including Professional Services) : Professional Services : Legal Services,Financial and Professional Services : Legal services,Financial and professional services : Legal services,Financial & professional services sector team,
Financial Services (including Professional Services) : Professional Services : Management Consultancy,Financial and Professional Services : Management consultancy,Financial and professional services : Management consultancy,Financial & professional services sector team,
Financial Services (including Professional Services) : Technology,Financial and Professional Services : Financial technology,Financial and professional services : Financial technology,Financial & professional services sector team,
Food and Drink : Bakery Products,Food and Drink : Bakery Products,Food and drink : Bakery products,Food & drink sector team,
Food and Drink : Beverages and Alcoholic Drinks,Food and Drink : Alcoholic drinks,Food and drink : Alcoholic drinks,Food & drink sector team,
Food and Drink : Brewing,Food and Drink : Brewing,Food and drink : Brewing,Food & drink sector team,
